City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Kahului,US,81.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
277,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
278,Fougamou,GA,75.34,light rain,-1.2154,10.5838,Auberge
285,Lorengau,PG,80.2,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
291,Ampanihy,MG,75.52,clear sky,-24.7,44.75,Hotel restaurant Angora
293,Sokoni,TZ,80.46,overcast clouds,-6.4333,39.55,La Madrugada Beach Hotel
298,Sambava,MG,76.3,heavy intensity rain,-14.2667,50.1667,Royal Sava Hôtel
304,Alta Floresta,BR,79.18,overcast clouds,-9.8756,-56.0861,Villas Hotel
305,Barranca,PE,74.1,broken clouds,-10.75,-77.7667,Emperador
306,Saint-Paul,RE,84.99,light rain,-21.0096,55.2707,Hôtel d'application
309,Macenta,GN,75.45,overcast clouds,8.5435,-9.471,Hôtel Macenta
315,Takoradi,GH,80.4,broken clouds,4.8845,-1.7554,Hillcrest
316,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,losmen Surya
320,Sitio Novo Do Tocantins,BR,78.73,moderate rain,-5.5183,-47.4611,New Anápolis Hotel
322,Vaitape,PF,80.33,light rain,-16.5167,-151.75,Oa Oa Lodge
325,Vertientes,CU,84.81,clear sky,21.2594,-78.1464,Hotel Rancho Hatuey
328,Sur,OM,72.1,broken clouds,22.5667,59.5289,Sur Hotel
329,Bairiki,KI,77.0,light intensity shower rain,1.3292,172.9752,Marry's Motel
330,Miri,MY,75.34,light rain,4.4148,114.0089,Kenyalang Suites Miri
337,Maua,BR,76.8,overcast clouds,-23.6678,-46.4614,Go Inn Santo André
338,Tomatlan,MX,82.76,overcast clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
340,Souillac,MU,80.98,light rain,-20.5167,57.5167,Hotel SkylineInn
344,Sampit,ID,72.93,overcast clouds,-2.5333,112.95,Hotel Sultan
345,Durban,ZA,80.92,scattered clouds,-29.8579,31.0292,Tudor
346,Nkhotakota,MW,71.94,moderate rain,-12.9274,34.2961,Zayi Guest House
350,Yulara,AU,74.61,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
352,Novo Aripuana,BR,73.49,overcast clouds,-5.1206,-60.3797,Hotel Novo Aripuanã
354,Cockburn Town,TC,76.06,few clouds,21.4612,-71.1419,The Salt Raker Inn
359,Macapa,BR,80.58,broken clouds,0.0389,-51.0664,Hotel Norte
362,Port Blair,IN,71.64,mist,11.6667,92.75,Andaman Ocean Breeze
366,Bourail,NC,74.64,broken clouds,-21.5667,165.4833,Hôtel Restaurant La Néra
380,Cristalina,BR,70.14,overcast clouds,-16.7686,-47.6136,Goyás
383,Puerto Escondido,MX,83.26,clear sky,15.85,-97.0667,Hotel Barlovento
392,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,The Adventures Inn
393,Vallenar,CL,86.9,clear sky,-28.5708,-70.7581,Hotel del Marqués
395,Saint-Pierre,RE,84.56,light rain,-21.3393,55.4781,Tropic Hotel
398,Tucupita,VE,79.95,broken clouds,9.0622,-62.051,Hotel salma suit
405,Gibara,CU,87.12,clear sky,21.1097,-76.1317,Plaza Colón
408,Banjar,ID,77.23,overcast clouds,-8.19,114.9675,Villa Banjar Beach
419,Anori,BR,79.32,overcast clouds,-3.7728,-61.6442,NOVO HOTEL
421,Makakilo City,US,77.99,few clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
422,Santa Marta,CO,89.65,few clouds,11.2408,-74.199,Casa Mita
423,Havelock,US,73.35,scattered clouds,34.8791,-76.9013,Quality Inn Havelock Hwy 70
427,Kuah,MY,78.78,few clouds,6.3265,99.8432,Langkawi Budget Inn
430,Fare,PF,80.46,clear sky,-16.7,-151.0167,hôtel Maitai Lapita Village
437,Sechura,PE,80.2,few clouds,-5.5569,-80.8222,Hospedaje Claritza
439,Meulaboh,ID,73.04,broken clouds,4.1363,96.1285,Hotel Meuligou
442,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Central Hôtel
448,The Valley,AI,80.74,few clouds,18.217,-63.0578,CeBlue
456,Cidreira,BR,74.84,overcast clouds,-30.1811,-50.2056,Hotel Castelo
463,Carmelo,UY,87.24,overcast clouds,-33.9892,-58.2856,Hotel Urbano
468,Plettenberg Bay,ZA,74.28,overcast clouds,-34.0527,23.3716,Milkwood Manor
480,Hervey Bay,AU,70.41,clear sky,-25.2986,152.8535,Hervey Bay Hotel
481,Bosaso,SO,73.45,few clouds,11.2842,49.1816,Bosaso hotel
484,Sulangan,PH,78.55,overcast clouds,11.1373,123.7228,Marion's Inn
487,Kanniyakumari,IN,74.98,clear sky,8.0833,77.5667,The Seashore Hotel
495,Sinnamary,GF,77.77,scattered clouds,5.3833,-52.95,Hôtel du fleuve
500,Chimoio,MZ,73.26,light rain,-19.1164,33.4833,Hotel Amirana
505,Puri,IN,72.12,scattered clouds,19.8,85.85,Divine Beach Homestay
507,Eyl,SO,74.73,clear sky,7.9803,49.8164,فندق ايل دابي
522,Pochutla,MX,85.82,scattered clouds,15.7432,-96.4661,Posada San Jose
523,Koundara,GN,83.46,clear sky,12.4833,-13.3,Koundara
536,Tena,EC,75.36,moderate rain,-0.9833,-77.8167,Hotel Villa Belén
549,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Terra Sur
551,Kalmunai,LK,77.22,overcast clouds,7.4167,81.8167,Saji new food
552,Nabire,ID,73.99,overcast clouds,-3.3667,135.4833,Hotel Anggrek
554,Mana,GF,77.95,scattered clouds,5.6592,-53.7767,Le Samana
555,Bhatkal,IN,72.63,scattered clouds,13.9667,74.5667,Sree Mahasati Store And Tea Hotel
570,Rio Gallegos,AR,82.45,scattered clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
571,Atambua,ID,73.74,heavy intensity rain,-9.1061,124.8925,Hotel Matahari
577,Sao Filipe,CV,75.65,clear sky,14.8961,-24.4956,Bela Vista
578,Mackay,AU,75.69,broken clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
583,Labuan,MY,75.56,scattered clouds,5.2767,115.2417,Labuan Avenue Hotel
589,Acajutla,SV,82.51,clear sky,13.5928,-89.8275,Hotel Lara
590,Lai,TD,79.72,overcast clouds,9.3952,16.2989,Auberge Shalom de Laï
592,Jacareacanga,BR,74.43,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
594,Richards Bay,ZA,79.81,clear sky,-28.783,32.0377,Protea Hotel
600,Santa Ines,BR,77.45,light rain,-3.6667,-45.38,Hotel Carajás
602,Chimbarongo,CL,88.72,clear sky,-34.7,-71.05,Hotel Central
603,Camana,PE,74.35,scattered clouds,-16.6228,-72.7111,Caja Arequipa
605,Rio Grande,BR,82.51,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
606,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Billy's Place
608,Abomey,BJ,79.7,clear sky,7.1829,1.9912,Résidence Marie-Josée
609,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,Khách sạn Thái Bình
611,Paracatu,BR,77.67,overcast clouds,-17.2222,-46.8747,Hotel Presidente
617,Mabaruma,GY,79.12,broken clouds,8.2,-59.7833,Monty Brooms Hotel
618,Soyo,AO,80.06,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
621,Kokopo,PG,76.71,light rain,-4.352,152.2633,Hotel Kokopo
622,Nha Trang,VN,75.2,overcast clouds,12.25,109.1833,Den Long Đỗ
623,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hotel Gondwana
625,Fomboni,KM,82.29,overcast clouds,-12.28,43.7425,Mohéli La Plage
627,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,The Abidah By Accra
628,Vao,NC,73.09,light rain,-22.6667,167.4833,Nataiwatch
629,Paita,PE,77.07,scattered clouds,-5.0892,-81.1144,Victor's
633,Tutoia,BR,81.43,light rain,-2.7619,-42.2744,Pousada San Vicente
634,Touros,BR,81.32,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
638,Miragoane,HT,77.32,clear sky,18.4423,-73.0876,Chez Dem
649,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Horisun
652,Itarema,BR,80.73,broken clouds,-2.9248,-39.9167,Pousada Oásis
658,Viedma,AR,84.25,overcast clouds,-40.8135,-62.9967,Níjar
662,Gorontalo,ID,74.66,overcast clouds,0.5412,123.0595,Grand City Hotel
663,Bubaque,GW,78.21,clear sky,11.2833,-15.8333,Chez Julio
667,Kimbe,PG,76.06,light rain,-5.5502,150.1429,Kimbe Bay Hotel
668,Cap Malheureux,MU,77.47,light rain,-19.9842,57.6142,Cape Garden
675,Punta Alta,AR,82.54,broken clouds,-38.8759,-62.0736,Gran Hotel
